latitude,longitude,time,date,sound val,sound avg,sound pek
51.5006256103,0.0024649999,15:7:30,21/9/2017,16,25.05,208
51.5006179809,0.0024683001,15:7:31,21/9/2017,14,30.30,157
51.5006027221,0.0024666001,15:7:32,21/9/2017,17,40.79,160
51.5005874633,0.0024649999,15:7:32,21/9/2017,22,28.09,138
51.5005683898,0.0024649999,15:7:34,21/9/2017,18,26.96,156
51.5005607604,0.0024649999,15:7:35,21/9/2017,18,20.09,114
51.5005455017,0.0024666001,15:7:36,21/9/2017,18,42.92,356
51.5005302429,0.0024666001,15:7:36,21/9/2017,28,27.14,165
51.5005226135,0.0024649999,15:7:38,21/9/2017,20,14.27,140
51.5005035400,0.0024649999,15:7:39,21/9/2017,11,17.91,139
51.5004882812,0.0024649999,15:7:40,21/9/2017,34,24.68,150
51.5004806518,0.0024666001,15:7:40,21/9/2017,32,31.06,138
51.5004653930,0.0024683001,15:7:42,21/9/2017,29,20.53,181
51.5004463195,0.0024700000,15:7:43,21/9/2017,23,33.75,246
51.5004386901,0.0024683001,15:7:44,21/9/2017,19,21.24,143
51.5004234313,0.0024683001,15:7:44,21/9/2017,28,30.87,129
51.5004158020,0.0024683001,15:7:46,21/9/2017,25,18.09,124
51.5004005432,0.0024683001,15:7:47,21/9/2017,22,24.54,110
51.5003890991,0.0024700000,15:7:48,21/9/2017,13,29.91,172
51.5003738403,0.0024649999,15:7:48,21/9/2017,22,29.88,143
51.5003662109,0.0024616000,15:7:50,21/9/2017,24,18.37,124
51.5003509521,0.0024600000,15:7:51,21/9/2017,44,35.37,154
51.5003318786,0.0024616000,15:7:52,21/9/2017,25,25.28,168
51.5003242492,0.0024632999,15:7:52,21/9/2017,123,46.12,175
51.5003089904,0.0024616000,15:7:54,21/9/2017,52,79.15,307
51.5002937316,0.0024549999,15:7:55,21/9/2017,71,76.51,357
51.5002861022,0.0024566001,15:7:56,21/9/2017,78,78.04,340
51.5002670288,0.0024549999,15:7:56,21/9/2017,100,70.98,351
51.5002517700,0.0024500000,15:7:58,21/9/2017,56,42.94,205
51.5002365112,0.0024465999,15:7:59,21/9/2017,21,23.04,139
51.5002212524,0.0024415998,15:8:0,21/9/2017,94,56.28,293
51.5002021789,0.0024450001,15:8:0,21/9/2017,66,59.62,357
51.5001869201,0.0024415998,15:8:2,21/9/2017,33,52.87,308
51.5001792907,0.0024366002,15:8:3,21/9/2017,56,41.16,225
51.5001640319,0.0024283003,15:8:4,21/9/2017,32,58.61,195
51.5001449584,0.0024266002,15:8:4,21/9/2017,107,84.65,432
51.5001296997,0.0024266002,15:8:6,21/9/2017,29,92.87,473
51.5001144409,0.0024233002,15:8:7,21/9/2017,26,20.92,126
51.5000991821,0.0024215998,15:8:8,21/9/2017,16,28.56,162
51.5000877380,0.0024215998,15:8:8,21/9/2017,18,24.35,169
51.5000724792,0.0024215998,15:8:10,21/9/2017,18,30.06,143
51.5000572204,0.0024250001,15:8:11,21/9/2017,28,31.71,222
51.5000495910,0.0024300000,15:8:12,21/9/2017,31,28.58,255
51.5000343322,0.0024333000,15:8:12,21/9/2017,37,23.63,119
51.5000228881,0.0024333000,15:8:14,21/9/2017,5,12.89,154
