latitude,longitude,time,date,light,temperature,people,people cumulative
51.5010490417,0.0051450004,10:12:7,25/9/2017,23,30.57,0,17
51.5010414123,0.0051565999,10:12:8,25/9/2017,23,28.13,0,17
51.5010414123,0.0051565999,10:12:8,25/9/2017,24,30.57,0,17
51.5010414123,0.0051683001,10:12:9,25/9/2017,23,27.15,0,17
51.5010414123,0.0051683001,10:12:9,25/9/2017,24,30.08,0,17
51.5010337829,0.0051815996,10:12:10,25/9/2017,24,27.64,0,17
51.5010337829,0.0051815996,10:12:10,25/9/2017,25,29.59,0,17
51.5010337829,0.0052016000,10:12:11,25/9/2017,24,25.20,0,17
51.5010337829,0.0052016000,10:12:11,25/9/2017,24,30.57,0,17
51.5010261535,0.0052216000,10:12:12,25/9/2017,24,27.64,0,17
51.5010261535,0.0052216000,10:12:12,25/9/2017,25,30.57,0,17
51.5010185241,0.0052382998,10:12:13,25/9/2017,25,27.15,0,17
51.5010185241,0.0052382998,10:12:13,25/9/2017,25,29.59,0,17
51.5010108947,0.0052533001,10:12:14,25/9/2017,24,27.15,1,18
51.5010108947,0.0052533001,10:12:14,25/9/2017,25,29.59,0,18
51.5009994506,0.0052683000,10:12:15,25/9/2017,24,28.13,2,20
51.5009994506,0.0052683000,10:12:15,25/9/2017,25,30.08,0,20
51.5009918212,0.0052750005,10:12:16,25/9/2017,24,27.64,0,20
51.5009918212,0.0052750005,10:12:16,25/9/2017,25,30.08,0,20
51.5009841918,0.0052833003,10:12:17,25/9/2017,24,27.64,0,20
51.5009841918,0.0052833003,10:12:17,25/9/2017,25,30.08,0,20
51.5009765625,0.0052850003,10:12:18,25/9/2017,24,27.64,0,20
51.5009765625,0.0052850003,10:12:18,25/9/2017,25,30.08,0,20
51.5009613037,0.0052883005,10:12:19,25/9/2017,23,27.64,1,21
51.5009613037,0.0052883005,10:12:19,25/9/2017,24,30.08,0,21
51.5009536743,0.0052933001,10:12:20,25/9/2017,23,28.13,0,21
51.5009536743,0.0052933001,10:12:20,25/9/2017,25,30.08,0,21
51.5009422302,0.0053033008,10:12:21,25/9/2017,23,28.13,0,21
51.5009422302,0.0053033008,10:12:21,25/9/2017,24,30.57,0,21
51.5009269714,0.0053133001,10:12:22,25/9/2017,24,26.66,0,21
51.5009269714,0.0053133001,10:12:22,25/9/2017,25,30.08,0,21
51.5009193420,0.0053250002,10:12:23,25/9/2017,24,27.64,0,21
51.5009193420,0.0053250002,10:12:23,25/9/2017,25,30.08,0,21
51.5009040832,0.0053333001,10:12:24,25/9/2017,24,26.66,0,21
51.5009040832,0.0053333001,10:12:24,25/9/2017,25,30.08,0,21
51.5008964538,0.0053416004,10:12:25,25/9/2017,25,27.64,1,22
51.5008964538,0.0053416004,10:12:25,25/9/2017,25,30.08,0,22
51.5008888244,0.0053500003,10:12:26,25/9/2017,24,27.64,0,22
51.5008888244,0.0053500003,10:12:26,25/9/2017,25,30.57,0,22
51.5008773803,0.0053566002,10:12:27,25/9/2017,24,27.15,1,23
51.5008773803,0.0053566002,10:12:27,25/9/2017,24,30.57,0,23
51.5008773803,0.0053649997,10:12:28,25/9/2017,24,28.13,2,25
51.5008773803,0.0053649997,10:12:28,25/9/2017,24,31.05,0,25
51.5008773803,0.0053766002,10:12:29,25/9/2017,24,28.13,0,25
51.5008773803,0.0053766002,10:12:29,25/9/2017,25,30.57,0,25
51.5008621215,0.0053815994,10:12:30,25/9/2017,24,28.13,0,25
51.5008621215,0.0053815994,10:12:30,25/9/2017,25,30.08,0,25
51.5008621215,0.0053933000,10:12:31,25/9/2017,24,28.13,0,25
51.5008621215,0.0053933000,10:12:31,25/9/2017,25,30.57,0,25
