latitude,longitude,time,date,light
51.4999923706,0.0058050003,17:14:36,19/9/2017,18
51.4999847412,0.0058166003,17:14:38,19/9/2017,24
51.4999847412,0.0058166003,17:14:38,19/9/2017,26
51.4999771118,0.0058315997,17:14:39,19/9/2017,17
51.4999771118,0.0058315997,17:14:39,19/9/2017,15
51.4999580383,0.0058433003,17:14:40,19/9/2017,27
51.4999580383,0.0058433003,17:14:40,19/9/2017,30
51.4999427795,0.0058533005,17:14:40,19/9/2017,29
51.4999427795,0.0058533005,17:14:40,19/9/2017,30
51.4999351501,0.0058650007,17:14:42,19/9/2017,22
51.4999351501,0.0058650007,17:14:42,19/9/2017,26
51.4999275207,0.0058783001,17:14:43,19/9/2017,14
51.4999275207,0.0058783001,17:14:43,19/9/2017,14
51.4999122619,0.0058882999,17:14:44,19/9/2017,13
51.4999122619,0.0058882999,17:14:44,19/9/2017,14
51.4999008178,0.0059000005,17:14:44,19/9/2017,12
51.4999008178,0.0059000005,17:14:44,19/9/2017,13
51.4998855590,0.0059116001,17:14:46,19/9/2017,12
51.4998855590,0.0059116001,17:14:46,19/9/2017,13
51.4998703002,0.0059216003,17:14:47,19/9/2017,12
51.4998703002,0.0059216003,17:14:47,19/9/2017,13
51.4998626708,0.0059333000,17:14:48,19/9/2017,13
51.4998626708,0.0059333000,17:14:48,19/9/2017,13
51.4998435974,0.0059450001,17:14:48,19/9/2017,12
51.4998435974,0.0059450001,17:14:48,19/9/2017,13
51.4998359680,0.0059583001,17:14:50,19/9/2017,13
51.4998359680,0.0059583001,17:14:50,19/9/2017,13
51.4998283386,0.0059733004,17:14:51,19/9/2017,17
51.4998283386,0.0059733004,17:14:51,19/9/2017,23
51.4998130798,0.0059850001,17:14:52,19/9/2017,18
51.4998130798,0.0059850001,17:14:52,19/9/2017,15
51.4997978210,0.0059983005,17:14:52,19/9/2017,24
51.4997978210,0.0059983005,17:14:52,19/9/2017,25
51.4997901916,0.0060100007,17:14:54,19/9/2017,15
51.4997901916,0.0060100007,17:14:54,19/9/2017,15
