latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature,MQ9 gas average,people,cumulative people
51.5014877319,0.0066749997,14:9:48,18/5/2016,8,10,9.67,42,15.43,712.65,0,0
51.5014648437,0.0066865992,14:9:49,18/5/2016,8,2,7.36,39,15.43,712.62,0,0
51.5014419555,0.0067016005,14:9:51,18/5/2016,9,2,8.09,34,15.92,715.85,0,0
51.5014305114,0.0067116012,14:9:52,18/5/2016,8,0,14.7,46,15.43,718.79,0,0
51.501422882,0.0067183008,14:9:52,18/5/2016,8,7,11.49,33,15.43,716.57,0,0
51.5014076232,0.0067283005,14:9:54,18/5/2016,8,9,7.03,29,15.92,711.61,0,0
51.5014076232,0.0067316002,14:9:55,18/5/2016,8,7,5.05,36,15.92,702.48,0,0
51.5013999938,0.0067400007,14:9:56,18/5/2016,8,2,5.58,33,15.92,710.56,0,0
51.5013923645,0.0067465996,14:9:56,18/5/2016,9,8,6.81,27,15.92,714.67,0,0
51.5013847351,0.0067533006,14:9:58,18/5/2016,9,14,10.3,31,15.92,717.62,0,0
51.5013847351,0.0067600007,14:9:59,18/5/2016,9,4,4.22,21,15.92,713.06,0,0
51.5013771057,0.0067683005,14:10:0,18/5/2016,9,12,4.14,27,15.92,704.68,0,0
51.5013656616,0.0067766003,14:10:0,18/5/2016,9,0,3.16,18,15.92,715.01,0,0
51.5013847351,0.0067783002,14:10:2,18/5/2016,9,14,7.74,44,15.92,716.52,0,0
51.5014076232,0.006775,14:10:3,18/5/2016,9,0,3.2,24,15.92,714.53,0,0
51.5014076232,0.0067816009,14:10:4,18/5/2016,9,4,8.18,30,15.92,674.91,0,0
51.5014419555,0.0067766003,14:10:4,18/5/2016,9,0,1.71,15,15.92,653.5,0,0
51.5014648437,0.0067733001,14:10:6,18/5/2016,9,10,3.14,19,15.92,663.54,0,0
51.5014648437,0.0067783002,14:10:7,18/5/2016,10,0,7,38,15.92,661.39,0,0
51.5014724731,0.0067866001,14:10:8,18/5/2016,10,4,4.4,27,15.92,754.91,2,2
