
51.50216293,0.00599500, CPS, 0, CPM, 31, uSv/hr, 0.17, SLOW
51.50218200,0.00603000, CPS, 1, CPM, 32, uSv/hr, 0.18, SLOW
51.50219726,0.00605500, CPS, 0, CPM, 32, uSv/hr, 0.18, SLOW
51.50218963,0.00606330, CPS, 2, CPM, 32, uSv/hr, 0.18, SLOW
51.50214767,0.00606330, CPS, 0, CPM, 32, uSv/hr, 0.18, SLOW
51.50209808,0.00605660, CPS, 1, CPM, 32, uSv/hr, 0.18, SLOW
51.50207519,0.00605160, CPS, 0, CPM, 32, uSv/hr, 0.18, SLOW
51.50206756,0.00606660, CPS, 0, CPM, 31, uSv/hr, 0.17, SLOW
51.50205230,0.00607160, CPS, 1, CPM, 32, uSv/hr, 0.18, SLOW
51.50201797,0.00607500, CPS, 1, CPM, 32, uSv/hr, 0.18, SLOW
51.50201034,0.00608500, CPS, 1, CPM, 32, uSv/hr, 0.18, SLOW
51.50198745,0.00609830, CPS, 0, CPM, 32, uSv/hr, 0.18, SLOW
51.50196838,0.00610830, CPS, 0, CPM, 30, uSv/hr, 0.17, SLOW
51.50195312,0.00611660, CPS, 1, CPM, 31, uSv/hr, 0.17, SLOW
51.50193786,0.00610660, CPS, 0, CPM, 30, uSv/hr, 0.17, SLOW
51.50191116,0.00609830, CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
51.50189590,0.00610160, CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
51.50188064,0.00609500, CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
51.50187301,0.00609160, CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
51.50186538,0.00608660, CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
51.50184631,0.00609160, CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
51.50184631,0.00609830, CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
51.50183868,0.00610830, CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
51.50181579,0.00612160, CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
51.50179672,0.00613500, CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
51.50178146,0.00614830, CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
51.50175857,0.00617160, CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
51.50173187,0.00619160, CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
51.50173187,0.00621330, CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
51.50172424,0.00623830, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50171661,0.00624830, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50170898,0.00626330, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50169372,0.00627830, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
