latitude,longitude,time,date,people,cumulative people
51.5031585693,0.0060866003,13:48:11,24/2/2016,0,8
51.5031661987,0.0061050004,13:48:12,24/2/2016,0,8
51.5031661987,0.0061233,13:48:12,24/2/2016,0,8
51.5031738281,0.0061400003,13:48:14,24/2/2016,0,8
51.5031738281,0.0061565999,13:48:15,24/2/2016,0,8
51.5031738281,0.0061733002,13:48:16,24/2/2016,0,8
51.5031814575,0.0061916007,13:48:16,24/2/2016,0,8
51.5031890869,0.0062083001,13:48:18,24/2/2016,0,8
51.5031890869,0.0062265996,13:48:19,24/2/2016,0,8
51.5031890869,0.0062433004,13:48:20,24/2/2016,0,8
51.5031661987,0.0062566003,13:48:20,24/2/2016,0,8
51.5031661987,0.0062766003,13:48:22,24/2/2016,0,8
51.5031585693,0.0062915992,13:48:23,24/2/2016,0,8
51.5031509399,0.0063050003,13:48:24,24/2/2016,0,8
51.5031318664,0.0063183002,13:48:24,24/2/2016,0,8
51.503124237,0.006335,13:48:26,24/2/2016,0,8
51.5031166076,0.0063515996,13:48:27,24/2/2016,0,8
51.5031089782,0.0063666,13:48:28,24/2/2016,0,8
51.5030937194,0.0063833003,13:48:28,24/2/2016,0,8
51.5030937194,0.0064033002,13:48:30,24/2/2016,0,8
51.50308609,0.0064166011,13:48:31,24/2/2016,0,8
51.50308609,0.0064333,13:48:32,24/2/2016,0,8
51.5030746459,0.0064500002,13:48:32,24/2/2016,0,8
51.5030746459,0.0064666004,13:48:34,24/2/2016,0,8
51.5030670166,0.0064866008,13:48:35,24/2/2016,0,8
51.5030670166,0.0065066003,13:48:36,24/2/2016,0,8
51.5030670166,0.0065132999,13:48:36,24/2/2016,0,8
51.5030670166,0.0065150012,13:48:38,24/2/2016,0,8
51.5030746459,0.0065165996,13:48:39,24/2/2016,0,8
51.5030937194,0.0065199999,13:48:40,24/2/2016,0,8
51.5031013488,0.0065182995,13:48:40,24/2/2016,0,8
51.5031089782,0.0065150012,13:48:42,24/2/2016,0,8
51.503124237,0.0065132999,13:48:43,24/2/2016,0,8
51.5031318664,0.0065116,13:48:44,24/2/2016,0,8
51.5031318664,0.0065116,13:48:44,24/2/2016,0,8
51.5031394958,0.0065066003,13:48:46,24/2/2016,0,8
51.5031394958,0.0065,13:48:47,24/2/2016,0,8
51.5031509399,0.0064933004,13:48:48,24/2/2016,0,8
51.5031585693,0.0064832997,13:48:48,24/2/2016,0,8
51.5031738281,0.0064733004,13:48:50,24/2/2016,0,8
51.5031814575,0.0064632997,13:48:51,24/2/2016,0,8
51.5031890869,0.0064583005,13:48:52,24/2/2016,0,8
51.5031967163,0.0064500002,13:48:52,24/2/2016,0,8
51.5032157897,0.0064415998,13:48:54,24/2/2016,0,8
51.5032234191,0.0064333,13:48:55,24/2/2016,0,8
51.5032310485,0.0064233007,13:48:56,24/2/2016,0,8
51.5032463073,0.0064150004,13:48:56,24/2/2016,0,8
51.5032539367,0.0064050006,13:48:58,24/2/2016,0,8
51.5032615661,0.0063965997,13:48:59,24/2/2016,0,8
51.5032730102,0.0063866004,13:49:0,24/2/2016,0,8
51.503288269,0.0063766002,13:49:0,24/2/2016,0,8
51.5032958984,0.0063666,13:49:2,24/2/2016,0,8
51.5033035278,0.0063565998,13:49:3,24/2/2016,0,8
51.5033187866,0.0063450007,13:49:4,24/2/2016,0,8
51.5033302307,0.006335,13:49:4,24/2/2016,0,8
51.5033378601,0.0063215999,13:49:6,24/2/2016,0,8
51.5033454895,0.0063083004,13:49:7,24/2/2016,0,8
51.5033531188,0.0062966003,13:49:8,24/2/2016,0,8
51.5033683776,0.0062832999,13:49:8,24/2/2016,0,8
51.503376007,0.0062716002,13:49:10,24/2/2016,0,8
51.5033836364,0.0062632999,13:49:11,24/2/2016,0,8
51.5033950805,0.0062533006,13:49:12,24/2/2016,0,8
51.5034027099,0.0062416005,13:49:12,24/2/2016,0,8
51.5034103393,0.0062315998,13:49:14,24/2/2016,0,8
51.5034179687,0.0062199997,13:49:15,24/2/2016,0,8
51.5034255981,0.00621,13:49:16,24/2/2016,0,8
51.5034408569,0.0061965999,13:49:16,24/2/2016,0,8
51.5034599304,0.0061800003,13:49:18,24/2/2016,0,8
51.5034675598,0.0061683006,13:49:19,24/2/2016,0,8
51.5034828186,0.0061582999,13:49:20,24/2/2016,0,8
51.5034904479,0.0061466002,13:49:20,24/2/2016,0,8
51.5034980773,0.0061332998,13:49:22,24/2/2016,0,8
51.5035171508,0.0061182999,13:49:23,24/2/2016,0,8
51.5035247802,0.0061050004,13:49:24,24/2/2016,0,8
51.5035324096,0.0060933008,13:49:24,24/2/2016,0,8
51.503540039,0.0060816001,13:49:26,24/2/2016,0,8
51.5035476684,0.0060700006,13:49:27,24/2/2016,0,8
51.5035629272,0.0060566,13:49:28,24/2/2016,0,8
51.5035743713,0.0060466003,13:49:28,24/2/2016,0,8
51.5035820007,0.0060366001,13:49:30,24/2/2016,0,8
51.5035972595,0.0060250005,13:49:31,24/2/2016,0,8
51.5036048889,0.0060150003,13:49:32,24/2/2016,0,8
51.5036201477,0.0060066003,13:49:32,24/2/2016,0,8
51.503627777,0.0059983005,13:49:34,24/2/2016,0,8
51.5036392211,0.0059883003,13:49:35,24/2/2016,0,8
51.5036468505,0.0059766006,13:49:36,24/2/2016,0,8
51.5036544799,0.0059650001,13:49:36,24/2/2016,0,8
51.5036621093,0.0059532999,13:49:38,24/2/2016,0,8
51.5036773681,0.0059399995,13:49:39,24/2/2016,0,8
51.5036849975,0.0059283008,13:49:40,24/2/2016,0,8
51.5036964416,0.0059166007,13:49:40,24/2/2016,0,8
