SourceFile,FileName,GPSLatitude,GPSLongitude,GPSLatDec,GPSLonDec
./IMG_9460.JPG,IMG_9460.JPG,"40 deg 44' 30.82""","73 deg 59' 21.16""",40.741894,73.98921
./IMG_9463.JPG,IMG_9463.JPG,"40 deg 44' 32.07""","73 deg 59' 20.97""",40.74224,73.98916
./IMG_9464.JPG,IMG_9464.JPG,"40 deg 44' 33.89""","73 deg 59' 17.70""",40.74275,73.98825
./IMG_9465.JPG,IMG_9465.JPG,"40 deg 44' 33.44""","73 deg 59' 15.64""",40.742622,73.98768
./IMG_9466.JPG,IMG_9466.JPG,"40 deg 44' 30.67""","73 deg 59' 14.71""",40.74185,73.98742
./IMG_9467.JPG,IMG_9467.JPG,"40 deg 44' 11.21""","73 deg 59' 23.28""",40.736446,73.9898
./IMG_9468.JPG,IMG_9468.JPG,"40 deg 44' 6.88""","73 deg 59' 27.34""",40.735245,73.99093
./IMG_9469.JPG,IMG_9469.JPG,"40 deg 44' 12.37""","73 deg 59' 35.14""",40.73677,73.993095
./IMG_9470.JPG,IMG_9470.JPG,"40 deg 44' 14.65""","73 deg 59' 33.55""",40.737404,73.99265
./IMG_9474.JPG,IMG_9474.JPG,"40 deg 44' 26.02""","73 deg 59' 24.60""",40.740562,73.990166
./IMG_9475.JPG,IMG_9475.JPG,"40 deg 44' 30.93""","73 deg 59' 22.62""",40.741924,73.98962
./IMG_9476.JPG,IMG_9476.JPG,"40 deg 44' 30.39""","73 deg 59' 23.50""",40.741776,73.98986
./IMG_9477.JPG,IMG_9477.JPG,"40 deg 44' 29.43""","73 deg 59' 20.97""",40.74151,73.98916
./IMG_9487.JPG,IMG_9487.JPG,"40 deg 45' 9.70""","73 deg 55' 39.21""",40.752693,73.92756
./IMG_9545.JPG,IMG_9545.JPG,"40 deg 46' 46.64""","73 deg 57' 19.57""",40.77962,73.95544
./IMG_9546.JPG,IMG_9546.JPG,"40 deg 46' 59.00""","73 deg 57' 33.50""",40.783054,73.959305
./IMG_9587.JPG,IMG_9587.JPG,"40 deg 47' 9.64""","73 deg 57' 46.10""",40.78601,73.96281
