latitude,longitude,time,date,MQ135 value 0-1024,MQ135 average,MQ135 peak,MQ2 value," MQ2 average"," MQ2 peak"," dust pcs/0.01cf",CO2 ppm,CO ppm
51.5024986267,0.0059783005,13:37:27,25/8/2016,107.00,108.09,111.00,73.00,74.33,78.00,8506.43,194,0.015125464
51.5025062561,0.0059816002,13:37:28,25/8/2016,110.00,107.80,111.00,73.00,74.34,78.00,8506.43,193,0.014939388
51.5025215148,0.0059816002,13:37:29,25/8/2016,109.00,107.98,111.00,73.00,74.91,78.00,8506.43,194,0.01505468
51.5025291442,0.0059816002,13:37:30,25/8/2016,107.00,108.03,111.00,74.00,75.22,78.00,8506.43,194,0.015086815
51.5025405883,0.0059850001,13:37:31,25/8/2016,110.00,107.81,111.00,76.00,75.07,79.00,8506.43,193,0.014945773
51.5025482177,0.0059866003,13:37:32,25/8/2016,108.00,108.30,111.00,75.00,76.02,79.00,8506.43,196,0.015261362
51.5025558471,0.0059883003,13:37:33,25/8/2016,108.00,109.06,112.00,76.00,76.78,80.00,8506.43,199,0.015761215
51.5025711059,0.0059899997,13:37:34,25/8/2016,110.00,109.56,113.00,76.00,77.50,81.00,8506.43,202,0.01609703
51.5025711059,0.0059966001,13:37:35,25/8/2016,111.00,110.01,113.00,79.00,78.15,81.00,8506.43,204,0.016404066
51.5025711059,0.0060000000,13:37:36,25/8/2016,110.00,110.09,113.00,79.00,78.25,82.00,8506.43,205,0.016459128
51.5025787353,0.0060083003,13:37:37,25/8/2016,112.00,110.16,114.00,76.00,78.28,82.00,8506.43,205,0.016507428
51.5025863647,0.0060150003,13:37:38,25/8/2016,110.00,110.24,113.00,80.00,78.06,81.00,8506.43,206,0.016562762
51.5025978088,0.0060215997,13:37:39,25/8/2016,110.00,110.19,113.00,78.00,77.79,81.00,13971.66,205,0.016528158
51.5026054382,0.0060183000,13:37:40,25/8/2016,108.00,110.28,113.00,79.00,77.55,81.00,13971.66,206,0.016590497
51.5026206970,0.0060199999,13:37:41,25/8/2016,109.00,110.16,113.00,76.00,77.52,81.00,13971.66,205,0.016507428
51.5026359558,0.0060183000,13:37:42,25/8/2016,110.00,109.98,113.00,76.00,77.40,80.00,13971.66,204,0.016383462
51.5026435852,0.0060199999,13:37:43,25/8/2016,112.00,110.22,113.00,76.00,77.39,81.00,13971.66,206,0.016548919
51.5026512145,0.0060199999,13:37:44,25/8/2016,109.00,110.41,114.00,78.00,77.35,81.00,13971.66,207,0.016680842
51.5026779174,0.0060199999,13:37:45,25/8/2016,111.00,110.60,114.00,77.00,77.28,81.00,13971.66,208,0.016813586
51.5026931762,0.0060150003,13:37:46,25/8/2016,113.00,110.46,114.00,75.00,77.17,80.00,13971.66,207,0.016715689
51.5027084350,0.0060066003,13:37:47,25/8/2016,113.00,110.57,114.00,75.00,77.09,80.00,13971.66,207,0.01679258
51.5027427673,0.0060183000,13:37:48,25/8/2016,111.00,110.35,114.00,78.00,77.05,80.00,13971.66,206,0.016639095
51.5027847290,0.0060250005,13:37:49,25/8/2016,108.00,110.16,113.00,78.00,77.05,81.00,13971.66,205,0.016507428
51.5027999877,0.0060300006,13:37:50,25/8/2016,109.00,110.22,113.00,78.00,76.88,80.00,13971.66,206,0.016548919
51.5028228759,0.0060383005,13:37:51,25/8/2016,108.00,110.03,113.00,75.00,76.72,80.00,13971.66,205,0.01641782
51.5028572082,0.0060450005,13:37:52,25/8/2016,111.00,110.01,113.00,75.00,76.70,80.00,13971.66,204,0.016404066
51.5028877258,0.0060500001,13:37:53,25/8/2016,108.00,109.85,114.00,78.00,76.62,80.00,13971.66,204,0.016294375
51.5029144287,0.0060532999,13:37:54,25/8/2016,112.00,109.88,113.00,76.00,76.45,80.00,13971.66,204,0.016314896
51.5029449462,0.0060515999,13:37:55,25/8/2016,110.00,109.75,113.00,79.00,76.41,80.00,13971.66,203,0.016226117
51.5029640197,0.0060616006,13:37:56,25/8/2016,112.00,109.75,114.00,75.00,76.21,80.00,13971.66,203,0.016226117
51.5029792785,0.0060633001,13:37:57,25/8/2016,109.00,109.72,114.00,75.00,76.04,80.00,13971.66,203,0.016205674
51.5029945373,0.0060583000,13:37:58,25/8/2016,109.00,109.72,114.00,77.00,75.99,80.00,13971.66,203,0.016205674
51.5030174255,0.0060583000,13:37:59,25/8/2016,110.00,109.70,113.00,74.00,75.89,80.00,13971.66,203,0.016192058
51.5030288696,0.0060616006,13:38:0,25/8/2016,110.00,109.63,113.00,75.00,75.76,80.00,13971.66,202,0.016144495
51.5030441284,0.0060650005,13:38:1,25/8/2016,111.00,109.42,113.00,74.00,75.64,79.00,13971.66,201,0.016002437
51.5030593872,0.0060633001,13:38:2,25/8/2016,110.00,109.33,113.00,75.00,75.48,80.00,13971.66,201,0.015941855
51.5030670166,0.0060683002,13:38:3,25/8/2016,108.00,109.26,113.00,74.00,75.44,81.00,13971.66,201,0.015894866
51.5030860900,0.0060700006,13:38:4,25/8/2016,110.00,109.25,114.00,77.00,75.39,79.00,13971.66,200,0.015888171
51.5030937194,0.0060716004,13:38:5,25/8/2016,111.00,109.28,113.00,76.00,75.43,79.00,13971.66,201,0.015908284
51.5031089782,0.0060750002,13:38:6,25/8/2016,108.00,109.15,114.00,77.00,75.27,80.00,13971.66,200,0.01582125
51.5030860900,0.0060866003,13:38:7,25/8/2016,112.00,109.15,113.00,74.00,75.08,80.00,13971.66,200,0.01582125
51.5030937194,0.0060900001,13:38:8,25/8/2016,108.00,108.94,113.00,73.00,74.97,81.00,13971.66,199,0.015681447
51.5030937194,0.0060982999,13:38:9,25/8/2016,108.00,109.34,114.00,74.00,74.86,80.00,13971.66,201,0.015948582
51.5031013488,0.0061033000,13:38:10,25/8/2016,110.00,109.24,113.00,72.00,74.64,82.00,4865.81,200,0.015881462
51.5031089782,0.0061050004,13:38:11,25/8/2016,111.00,109.04,113.00,72.00,74.26,78.00,4865.81,199,0.0157479
51.5031242370,0.0061083006,13:38:12,25/8/2016,108.00,108.86,114.00,76.00,74.36,78.00,4865.81,198,0.015628438
51.5031318664,0.0061133003,13:38:13,25/8/2016,112.00,109.09,113.00,75.00,74.46,84.00,4865.81,200,0.0157812
51.5031509399,0.0061200003,13:38:14,25/8/2016,109.00,109.24,113.00,75.00,74.55,79.00,4865.81,200,0.015881462
51.5031585693,0.0061250000,13:38:15,25/8/2016,108.00,109.29,113.00,73.00,74.53,78.00,4865.81,201,0.015914995
51.5031585693,0.0061316003,13:38:16,25/8/2016,108.00,109.30,113.00,75.00,74.52,78.00,4865.81,201,0.015921708
51.5031661987,0.0061433005,13:38:17,25/8/2016,108.00,109.40,113.00,74.00,74.70,78.00,4865.81,201,0.01598896
51.5031814575,0.0061515998,13:38:18,25/8/2016,110.00,109.33,112.00,76.00,74.83,78.00,4865.81,201,0.015941855
51.5031890869,0.0061632995,13:38:19,25/8/2016,109.00,109.00,109.00,75.00,75.00,75.00,4865.81,199,0.01572129
51.5032157897,0.0061750001,13:38:20,25/8/2016,107.00,109.08,112.00,73.00,74.73,78.00,4865.81,200,0.015774539
51.5032234191,0.0061883001,13:38:21,25/8/2016,108.00,108.84,112.00,75.00,74.65,78.00,4865.81,198,0.015615211
51.5032386779,0.0061999998,13:38:22,25/8/2016,108.00,108.93,111.00,73.00,74.56,78.00,4865.81,199,0.015674809
51.5032539367,0.0062182998,13:38:23,25/8/2016,111.00,109.05,112.00,73.00,74.54,78.00,4865.81,199,0.015754553
51.5032730102,0.0062315998,13:38:24,25/8/2016,110.00,109.08,112.00,76.00,74.48,78.00,4865.81,200,0.015774539
51.5032806396,0.0062483005,13:38:25,25/8/2016,111.00,109.12,112.00,76.00,74.42,78.00,4865.81,200,0.015801216
51.5032806396,0.0062632999,13:38:26,25/8/2016,109.00,109.16,112.00,73.00,74.38,78.00,4865.81,200,0.01582794
51.5032806396,0.0062783002,13:38:27,25/8/2016,107.00,109.16,112.00,74.00,74.35,78.00,4865.81,200,0.01582794
51.5032882690,0.0063083004,13:38:29,25/8/2016,111.00,109.11,112.00,77.00,74.33,77.00,4865.81,200,0.015794544
51.5032882690,0.0063083004,13:38:29,25/8/2016,109.00,109.00,109.00,73.00,73.00,73.00,4865.81,199,0.01572129
51.5032806396,0.0063249998,13:38:30,25/8/2016,111.00,109.41,112.00,76.00,74.53,78.00,4865.81,201,0.015995707
51.5032806396,0.0063249998,13:38:30,25/8/2016,112.00,112.00,112.00,73.00,73.00,73.00,4865.81,215,0.017817622
51.5032806396,0.0063400001,13:38:31,25/8/2016,110.00,109.31,112.00,73.00,74.61,78.00,4865.81,201,0.015928429
51.5032806396,0.0063400001,13:38:31,25/8/2016,109.00,109.00,109.00,76.00,76.00,76.00,4865.81,199,0.01572129
51.5031814575,0.0063416004,13:38:32,25/8/2016,111.00,109.11,112.00,77.00,74.58,78.00,4865.81,200,0.015794544
51.5031738281,0.0063750004,13:38:33,25/8/2016,111.00,109.01,112.00,73.00,74.47,78.00,4865.81,199,0.015727941
51.5031509399,0.0063999996,13:38:34,25/8/2016,111.00,109.08,112.00,74.00,74.44,78.00,4865.81,200,0.015774539
51.5031394958,0.0064150004,13:38:35,25/8/2016,110.00,109.03,112.00,75.00,74.39,78.00,4865.81,199,0.015741237
51.5031394958,0.0064300003,13:38:36,25/8/2016,107.00,108.84,112.00,73.00,74.44,78.00,4865.81,198,0.015615211
51.5031242370,0.0064415998,13:38:37,25/8/2016,110.00,108.70,111.00,75.00,74.38,78.00,4865.81,198,0.015522856
51.5031242370,0.0064532995,13:38:38,25/8/2016,110.00,108.85,112.00,75.00,74.46,78.00,4865.81,198,0.015621826
51.5031089782,0.0064616003,13:38:39,25/8/2016,111.00,109.14,112.00,77.00,74.46,78.00,4865.81,200,0.015814569
51.5031089782,0.0064616003,13:38:40,25/8/2016,111.00,109.21,112.00,76.00,74.48,78.00,4865.81,200,0.015861373
51.5031013488,0.0064683008,13:38:41,25/8/2016,108.00,109.27,113.00,75.00,74.02,77.00,4277.97,201,0.015901577
51.5030860900,0.0064832997,13:38:42,25/8/2016,108.00,109.24,112.00,75.00,74.21,78.00,4277.97,200,0.015881462
51.5030670166,0.0065050001,13:38:43,25/8/2016,108.00,109.21,112.00,73.00,73.97,77.00,4277.97,200,0.015861373
51.5030593872,0.0065250010,13:38:44,25/8/2016,110.00,109.61,113.00,76.00,74.45,78.00,4277.97,202,0.01613092
51.5030593872,0.0065433001,13:38:45,25/8/2016,112.00,109.81,113.00,75.00,74.73,78.00,4277.97,203,0.016267035
51.5030670166,0.0065633001,13:38:46,25/8/2016,111.00,109.81,113.00,73.00,75.04,78.00,4277.97,203,0.016267035
51.5030746459,0.0065800004,13:38:47,25/8/2016,108.00,109.62,112.00,76.00,75.28,78.00,4277.97,202,0.016137712
51.5030860900,0.0065850009,13:38:48,25/8/2016,109.00,109.93,113.00,78.00,75.25,79.00,4277.97,204,0.016349152
51.5031013488,0.0065916004,13:38:49,25/8/2016,108.00,108.00,108.00,76.00,76.00,76.00,4277.97,194,0.015067525
51.5031089782,0.0065932998,13:38:50,25/8/2016,111.00,109.96,113.00,73.00,75.42,79.00,4277.97,204,0.016369728
51.5031166076,0.0065932998,13:38:51,25/8/2016,112.00,109.85,113.00,73.00,75.31,79.00,4277.97,204,0.016294375
51.5031318664,0.0065866003,13:38:52,25/8/2016,109.00,109.72,113.00,77.00,75.25,79.00,4277.97,203,0.016205674
51.5031394958,0.0065833001,13:38:53,25/8/2016,108.00,109.55,114.00,78.00,75.18,80.00,4277.97,202,0.016090263
51.5031585693,0.0065800004,13:38:54,25/8/2016,111.00,109.54,114.00,77.00,75.05,80.00,4277.97,202,0.016083494
51.5031661987,0.0065700006,13:38:55,25/8/2016,111.00,109.49,114.00,77.00,74.93,80.00,4277.97,202,0.016049681
51.5031738281,0.0065582995,13:38:56,25/8/2016,108.00,109.50,114.00,73.00,74.86,80.00,4277.97,202,0.016056444
51.5031814575,0.0065416007,13:38:57,25/8/2016,108.00,109.34,115.00,73.00,74.84,81.00,4277.97,201,0.015948582
51.5031890869,0.0065265998,13:38:58,25/8/2016,109.00,109.28,115.00,73.00,74.87,80.00,4277.97,201,0.015908284
51.5031967163,0.0065132999,13:38:59,25/8/2016,110.00,109.13,121.00,73.00,74.68,92.00,4277.97,200,0.015807897
51.5032081604,0.0065016002,13:39:0,25/8/2016,111.00,109.11,115.00,73.00,74.59,85.00,4277.97,200,0.015794544
51.5032234191,0.0064882998,13:39:1,25/8/2016,110.00,109.14,116.00,78.00,74.62,82.00,4277.97,200,0.015814569
51.5032310485,0.0064832997,13:39:2,25/8/2016,108.00,109.13,122.00,75.00,74.63,83.00,4277.97,200,0.015807897
51.5032386779,0.0064750003,13:39:3,25/8/2016,111.00,109.17,120.00,77.00,74.64,84.00,4277.97,200,0.015834616
51.5032463073,0.0064632997,13:39:4,25/8/2016,111.00,109.15,120.00,75.00,74.49,85.00,4277.97,200,0.01582125
51.5032539367,0.0064516000,13:39:5,25/8/2016,110.00,109.10,121.00,73.00,74.51,85.00,4277.97,200,0.015787877
51.5032615661,0.0064383001,13:39:6,25/8/2016,108.00,108.98,123.00,72.00,74.46,84.00,4277.97,199,0.015708001
51.5032730102,0.0064283008,13:39:7,25/8/2016,111.00,109.05,119.00,76.00,74.36,87.00,4277.97,199,0.015754553
51.5032730102,0.0064166011,13:39:8,25/8/2016,111.00,109.01,120.00,72.00,74.25,87.00,4277.97,199,0.015727941
51.5032806396,0.0064050006,13:39:9,25/8/2016,107.00,108.88,122.00,76.00,74.20,86.00,4277.97,199,0.015641676
51.5032958984,0.0063882999,13:39:10,25/8/2016,107.00,108.72,120.00,77.00,74.03,90.00,4277.97,198,0.015536026
51.5033035278,0.0063766002,13:39:11,25/8/2016,108.00,108.77,118.00,73.00,74.04,87.00,12845.53,198,0.015568978
51.5033111572,0.0063633003,13:39:12,25/8/2016,107.00,108.61,125.00,74.00,73.98,84.00,12845.53,197,0.015463719
51.5033111572,0.0063466000,13:39:13,25/8/2016,107.00,108.65,123.00,72.00,73.89,87.00,12845.53,197,0.015489981
51.5033187866,0.0063316001,13:39:14,25/8/2016,112.00,108.63,122.00,70.00,73.90,89.00,12845.53,197,0.015476841
51.5033187866,0.0063215999,13:39:15,25/8/2016,107.00,108.62,122.00,72.00,73.91,87.00,12845.53,197,0.015470281
51.5033302307,0.0063100004,13:39:16,25/8/2016,108.00,108.85,121.00,72.00,73.98,85.00,12845.53,198,0.015621826
51.5033454895,0.0062966003,13:39:17,25/8/2016,110.00,109.03,115.00,77.00,74.06,83.00,12845.53,199,0.015741237
51.5033454895,0.0062866001,13:39:18,25/8/2016,108.00,108.95,116.00,74.00,74.01,80.00,12845.53,199,0.015688075
51.5033454895,0.0062733001,13:39:19,25/8/2016,110.00,108.92,114.00,75.00,74.03,79.00,12845.53,199,0.015668178
51.5033531188,0.0062616004,13:39:20,25/8/2016,110.00,108.88,114.00,76.00,73.96,79.00,12845.53,199,0.015641676
51.5033607482,0.0062483005,13:39:21,25/8/2016,110.00,108.85,113.00,76.00,73.92,79.00,12845.53,198,0.015621826
51.5033760070,0.0062349996,13:39:22,25/8/2016,107.00,108.69,113.00,74.00,73.76,79.00,12845.53,198,0.015516273
51.5033950805,0.0062216000,13:39:23,25/8/2016,107.00,108.80,115.00,75.00,73.80,79.00,12845.53,198,0.015588782
51.5034027099,0.0062100000,13:39:24,25/8/2016,109.00,108.79,115.00,77.00,73.84,79.00,12845.53,198,0.015582183
51.5034179687,0.0061983003,13:39:25,25/8/2016,108.00,108.77,114.00,75.00,73.87,84.00,12845.53,198,0.015568978
51.5034332275,0.0061865997,13:39:26,25/8/2016,109.00,108.95,113.00,74.00,73.92,79.00,12845.53,199,0.015688075
51.5034523010,0.0061766004,13:39:27,25/8/2016,104.00,104.00,104.00,80.00,80.00,80.00,12845.53,174,0.0126632815
51.5034675598,0.0061666002,13:39:28,25/8/2016,112.00,108.91,122.00,72.00,73.85,81.00,12845.53,199,0.015661543
51.5034828186,0.0061549997,13:39:29,25/8/2016,107.00,109.20,120.00,73.00,73.96,80.00,12845.53,200,0.01585467
51.5034904479,0.0061400003,13:39:30,25/8/2016,111.00,109.26,114.00,72.00,74.33,79.00,12845.53,201,0.015894866
51.5034904479,0.0061400003,13:39:30,25/8/2016,108.00,108.00,108.00,73.00,73.00,73.00,12845.53,194,0.015067525
51.5035057067,0.0061200003,13:39:31,25/8/2016,110.00,109.41,114.00,75.00,74.47,80.00,12845.53,201,0.015995707
51.5035057067,0.0061200003,13:39:32,25/8/2016,111.00,111.00,111.00,75.00,75.00,75.00,12845.53,210,0.017095784
51.5035057067,0.0061033000,13:39:33,25/8/2016,109.00,109.22,114.00,74.00,73.98,79.00,12845.53,200,0.015868071
51.5035247802,0.0060915999,13:39:34,25/8/2016,106.00,106.00,106.00,74.00,74.00,74.00,12845.53,184,0.013824288
51.5035400390,0.0060816001,13:39:35,25/8/2016,108.00,108.69,116.00,71.00,73.31,88.00,12845.53,198,0.015516273
51.5035476684,0.0060700006,13:39:36,25/8/2016,107.00,108.82,112.00,75.00,73.53,77.00,12845.53,198,0.015601995
51.5035629272,0.0060566000,13:39:37,25/8/2016,108.00,109.38,114.00,76.00,73.78,78.00,12845.53,201,0.015975492
51.5035743713,0.0060416007,13:39:38,25/8/2016,108.00,109.64,114.00,77.00,74.21,79.00,12845.53,203,0.016151285
51.5035896301,0.0060300006,13:39:39,25/8/2016,107.00,109.70,113.00,77.00,74.44,79.00,12845.53,203,0.016192058
51.5035972595,0.0060215997,13:39:40,25/8/2016,108.00,109.48,114.00,73.00,74.15,80.00,12845.53,202,0.016042925
51.5036125183,0.0060150003,13:39:41,25/8/2016,112.00,109.65,113.00,73.00,74.68,80.00,19570.30,203,0.016158076
51.5036201477,0.0060066003,13:39:42,25/8/2016,108.00,108.50,110.00,75.00,74.25,76.00,19570.30,197,0.01539167
51.5036392211,0.0059966001,13:39:43,25/8/2016,112.00,110.02,114.00,74.00,74.91,80.00,19570.30,205,0.016410943
51.5036468505,0.0059816002,13:39:44,25/8/2016,112.00,110.26,113.00,73.00,75.15,78.00,19570.30,206,0.016576625
51.5036544799,0.0059682998,13:39:45,25/8/2016,112.00,110.17,114.00,75.00,74.80,79.00,19570.30,205,0.016514337
51.5036621093,0.0059549999,13:39:46,25/8/2016,113.00,110.25,114.00,77.00,75.26,79.00,19570.30,206,0.01656969
51.5036697387,0.0059433002,13:39:47,25/8/2016,111.00,109.79,111.00,75.00,75.86,79.00,19570.30,203,0.016253391
51.5036849975,0.0059316005,13:39:48,25/8/2016,111.00,110.02,113.00,73.00,75.38,80.00,19570.30,205,0.016410943
51.5036964416,0.0059200000,13:39:49,25/8/2016,110.00,110.00,110.00,73.00,73.00,73.00,19570.30,204,0.016397195
51.5037117004,0.0059116001,13:39:50,25/8/2016,108.00,109.46,114.00,74.00,75.06,82.00,19570.30,202,0.016029427
51.5037193298,0.0059000005,13:39:51,25/8/2016,108.00,109.19,113.00,75.00,74.79,79.00,19570.30,200,0.01584799
51.5037345886,0.0058916001,13:39:52,25/8/2016,110.00,108.70,112.00,77.00,74.01,79.00,19570.30,198,0.015522856
51.5037422180,0.0058800001,13:39:53,25/8/2016,108.00,109.15,113.00,76.00,74.74,79.00,19570.30,200,0.01582125
51.5037498474,0.0058716006,13:39:54,25/8/2016,111.00,109.23,112.00,74.00,74.82,79.00,19570.30,200,0.01587477
51.5037498474,0.0058616008,13:39:55,25/8/2016,111.00,109.87,113.00,78.00,75.18,78.00,19570.30,204,0.01630805
51.5037612915,0.0058516001,13:39:56,25/8/2016,109.00,110.60,114.00,77.00,75.64,79.00,19570.30,208,0.016813586
51.5037689208,0.0058400001,13:39:57,25/8/2016,112.00,110.35,113.00,77.00,75.51,79.00,19570.30,206,0.016639095
51.5037765502,0.0058315997,13:39:58,25/8/2016,111.00,110.90,114.00,76.00,75.44,79.00,19570.30,209,0.017024891
51.5037765502,0.0058249998,13:39:59,25/8/2016,109.00,110.23,114.00,77.00,75.38,79.00,19570.30,206,0.016555848
51.5037765502,0.0058249998,13:39:59,25/8/2016,112.00,112.00,112.00,74.00,74.00,74.00,19570.30,215,0.017817622
51.5037918090,0.0058133001,13:40:0,25/8/2016,111.00,109.67,113.00,74.00,75.31,79.00,19570.30,203,0.016171662
51.5037918090,0.0058032999,13:40:1,25/8/2016,111.00,110.08,113.00,73.00,75.09,78.00,19570.30,205,0.016452229
51.5038070678,0.0057915997,13:40:2,25/8/2016,107.00,108.86,112.00,75.00,74.48,78.00,19570.30,198,0.015628438
51.5038185119,0.0057783002,13:40:3,25/8/2016,108.00,108.34,112.00,76.00,73.82,77.00,19570.30,196,0.015287349
51.5038185119,0.0057715997,13:40:4,25/8/2016,111.00,109.51,112.00,75.00,74.12,77.00,19570.30,202,0.016063195
51.5038261413,0.0057616000,13:40:5,25/8/2016,107.00,109.42,112.00,77.00,75.15,79.00,19570.30,201,0.016002437
51.5038337707,0.0057483005,13:40:6,25/8/2016,107.00,108.65,112.00,79.00,76.13,79.00,19570.30,197,0.015489981
51.5038490295,0.0057365999,13:40:7,25/8/2016,110.00,108.89,112.00,78.00,76.67,80.00,19570.30,199,0.0156483
51.5038566589,0.0057232999,13:40:8,25/8/2016,106.00,108.23,111.00,76.00,76.62,80.00,19570.30,195,0.015215961
51.5038642883,0.0057133007,13:40:9,25/8/2016,109.00,107.35,111.00,78.00,75.90,79.00,19570.30,191,0.014654195
51.5038719177,0.0057066006,13:40:10,25/8/2016,106.00,107.57,110.00,74.00,76.26,79.00,19570.30,192,0.014793082
51.5038909912,0.0057016000,13:40:11,25/8/2016,108.00,107.67,111.00,78.00,76.08,79.00,13132.31,192,0.014856547
51.5038986206,0.0056900000,13:40:12,25/8/2016,110.00,108.21,111.00,75.00,76.14,79.00,13132.31,195,0.015203003
