0.00000000,0.000000000, 51.50178146,0.00537500, 51.50178146,0.00537660, 51.50178146,0.00537660, 51.50178146,0.00537830, 6,0.00537330, 51.50178146,0.00537500, 51.50178146,0.00537500, 51.50178146,0.00537660, 51.50178146,0.00537660, 51.50178146,0.00537830, 
GPShield
write GPSLOG99.TXT
go
51.50177383,0.00537660, 51.50177383,0.00537830, 51.50177383,0.00537830, mightyohm.com Geiger Counter 1.00
http://mightyohm.com/geiger
51.50214004,0.00549000, CPS, 0, CPM, 31, uSv/hr, 0.17, SLOW
51.50215530,0.00552660, CPS, 1, CPM, 31, uSv/hr, 0.17, SLOW
51.50216293,0.00554160, CPS, 0, CPM, 30, uSv/hr, 0.17, SLOW
51.50217437,0.00555660, CPS, 1, CPM, 31, uSv/hr, 0.17, SLOW
51.50218200,0.00556500, CPS, 0, CPM, 30, uSv/hr, 0.17, SLOW
51.50218963,0.00557330, CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
51.50225448,0.00567330, CPS, 1, CPM, 28, uSv/hr, 0.15, SLOW
51.50227737,0.00574500, CPS, 1, CPM, 27, uSv/hr, 0.15, SLOW
51.50228500,0.00579500, CPS, 2, CPM, 29, uSv/hr, 0.16, SLOW
51.50226211,0.00585000, CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
51.50223922,0.00591000, CPS, 2, CPM, 29, uSv/hr, 0.16, SLOW
51.50220489,0.00596330, CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
51.50215530,0.00601330, CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
51.50212478,0.00606000, CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
51.50210952,0.00611160, CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
51.50206756,0.00615500, CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
51.50202560,0.00620160, CPS, 1, CPM, 27, uSv/hr, 0.15, SLOW
51.50201797,0.00622330, CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
51.50200271,0.00624330, CPS, 1, CPM, 28, uSv/hr, 0.15, SLOW
51.50200271,0.00623660, CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
51.50198745,0.00625330, CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
51.50198745,0.00625160, CPS, 0, CPM, 24, uSv/hr, 0.13, SLOW
51.50198745,0.00626500, CPS, 1, CPM, 25, uSv/hr, 0.14, SLOW
51.50198745,0.00626660, CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
51.50197601,0.00627500, CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
51.50196838,0.00629000, CPS, 1, CPM, 26, uSv/hr, 0.14, SLOW
51.50196075,0.00628000, CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
51.50196075,0.00628160, CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
