,,,,,,,,,,,,,,,,,,,normX,normY
38.243244,21.734507,22.481218,Point,138.8671875,1.7699999809265137,0.02657286636531353,0.28527170419692993,0.571321964263916,0.12957462668418884,1.6123342514038086,6.568918704986572,1560677918996.7773,0.05120716243982315,6.433901309967041,30,0.8642475605010986,6,2.852813243865967,-0.1,0.245
38.242672,21.734884,24.394487,Point,194.4140625,0.38999998569488525,0.022456759586930275,0.2764682471752167,0.6213502883911133,0.09933192282915115,2.098928451538086,11.457417488098145,1560678013994.1787,0.039397336542606354,11.238299369812012,10,0.9270796179771423,6,6.008544921875,-0.0775,0.2875
38.242825,21.738259,38.023637,Point,316.40625,0.949999988079071,0.048637110739946365,0.4596405029296875,0.9328594207763672,0.21864938735961914,6.271297454833984,28.319534301757812,1560679560997.5093,0.08966545015573502,19.860193252563477,10,1.9631428718566895,4,17.042192459106445,0.12,0.2775
38.247199,21.732356,1.660539,Point,37.265625,1.2400000095367432,0.041838034987449646,1.182589054107666,2.201658010482788,0.31415536999702454,4.943594455718994,21.71434783935547,1560698919987.4272,0.09481670707464218,16.336742401123047,10,2.865521192550659,3,12.030665397644043,-0.225,-0.05
38.245386,21.731925,13.340166,Point,242.9296875,1.2100000381469727,0.035809703171253204,0.34756889939308167,0.6523091197013855,0.14350049197673798,2.918076753616333,14.217845916748047,1560677260998.4739,0.061798468232154846,12.714775085449219,10,1.26393461227417,6,6.355722427368164,-0.25,0.0875
38.242754,21.729759,14.536272,Point,333.984375,1.7599999904632568,0.01286599226295948,0.143025204539299,0.3297571837902069,0.061295971274375916,1.1680796146392822,5.082779884338379,1560683029992.3313,0.023558234795928,4.588385581970215,10,0.5387355089187622,4,2.122440814971924,-0.375,0.2825
38.243782,21.739099,42.586748,Point,26.015625,1.659999966621399,0.026075856760144234,0.17354510724544525,0.2914239466190338,0.08090676367282867,0.6931138038635254,5.658308029174805,1560680476998.3096,0.043897807598114014,4.796698093414307,5,0.3893792927265167,4,2.0402169227600098,0.1675,0.205
38.241726,21.731529,14.73665,Point,325.546875,1.6100000143051147,0.06756999343633652,0.4316149055957794,0.8757727146148682,0.2514132857322693,9.580289840698242,42.99845504760742,1560682892995.7043,0.11436562985181808,35.41132354736328,5,2.434128761291504,4,21.7857666015625,-0.2725,0.3575
38.243017,21.73851,41.034746,Point,29.8828125,0.7799999713897705,0.027737358585000038,0.2920038104057312,0.5810638070106506,0.10723477602005005,2.5963191986083984,16.190155029296875,1560679590998.7615,0.05441688001155853,13.823662757873535,10,1.0680999755859375,4,7.449418067932129,0.135,0.2625
38.248377,21.733871,0.35634,Point,62.578125,1.309999942779541,0.07863673567771912,3.0073206424713135,4.488125801086426,0.8088727593421936,6.57321310043335,32.59349060058594,1560699059995.853,0.23610632121562958,28.908462524414062,10,3.8839194774627686,4,13.799662590026855,-0.135,-0.1375
38.250542,21.732337,-0.694929,Point,317.8125,1.2699999809265137,0.03534926101565361,0.35404935479164124,0.6820976734161377,0.1436367779970169,3.5135366916656494,19.516164779663086,1560699375995.5183,0.062385112047195435,14.862312316894531,5,1.4018806219100952,3,10.558123588562012,-0.225,-0.295
38.245442,21.729026,4.304521,Point,67.5,1.0499999523162842,0.053764041513204575,3.2346179485321045,6.309691905975342,0.739328145980835,7.818880081176758,28.90266227722168,1560698665995.2122,0.15007096529006958,19.825117111206055,10,4.404449939727783,4,17.85643196105957,-0.4175,0.0825
38.244401,21.726328,1.218653,Point,256.640625,1.600000023841858,0.0299245472997427,0.20390421152114868,0.3536697328090668,0.10510820895433426,2.1227691173553467,13.784154891967773,1560683459995.8762,0.052431005984544754,11.951092720031738,5,0.7334287166595459,4,6.246096611022949,-0.575,0.16
38.242792,21.728679,12.278703,Point,215.15625,0,0.020321328192949295,0.32390955090522766,0.6932896971702576,0.14255309104919434,1.3802425861358643,6.563307285308838,1560683121990.066,0.05092873424291611,5.9627180099487305,5,1.03350031375885,6,2.7537667751312256,-0.4375,0.2775
